Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"The runtime for the following code fragment is ?(f(n)). What is f(n)?for (int i=0; i<n; i++) for (int j=0; j<i/10; j++) for (int k=1; k<n; k=2*k) System.out.println(i);
","nlogn
","n^2
","n^2(logn)
","n^3
","None of the above
",,"wd371 (wd371)
"
"Given the binary search algorithm, as taught in the lecture, and an array with the followingnumbers (from first to last index):5, 9, 11, 99, 110, 111, 200, 300, 500, 1000, 1001.How many iterations does the algorithm need to find the element 5?
","1 iteration
","2 iterations
","3 iterations
","4 iterations
",,,"wd371 (wd371)
"
"An algorithm has time complexity . Using the Definition of Big-Oh as given in the 2019 Week 1a Lecture (slide 14), fix B = 4.Assuming, what is the lowest possible value of b for which the definition holds?
","b = 12
","b = -4
","b = 6
","b = 9
","b = 0
","Solve for the roots of |T(N)|=4N^2. The roots are, N=6, N=9 for the equation T(N)=4N^2. Roots to -T(N)=4N^2 can be safely ignored.So the choice is b=9. You can quickly verify by substituting N=8 that b=6 does not satisfy the definition. b=12 satisfies the definition but is not the lowest possible value of b satisfying the definitionThe slightly harder version of this question can be found here:https://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4248139
",
"Which one of the following sorting algorithms is the quickest for an almost sorted array?
","Selection sort
","Insertion sort
","Bubble sort
","Merge sort
","Quick
",,"aa2955 (aa2955)
"
"Given the tree: a / \ b c / \ / \ e f g hWhat is the in order traversal?
","ebfagch
","abefcgh
","efbghca
","abcefgh
",,"For the in order traversal we start from the root node then go from top -> bottom and left -> right and see if we can reach the bottom part of the current node.
",
"Consider we have created an Adjacency Matrix M for some directed graph.a) What would we be able to determine from the matrix created by multiplying M by itself?b) What would we be able to determine if we did this again?
","a) The resulting matrix would show all vertices that are either 1 or 2 edges apartb) The resulting matrix would show all vertices that are either 1,2 or 3 edges apart
","a) The resulting matrix would show all vertices that are 2 edges apartb) The resulting matrix would show all vertices that are 3 edges apart
","a) The resulting matrix would show all vertices that are either 1 or 2 edges apartb) The resulting matrix would show all vertices that are either 1,2 or 4 edges apart
","a) The resulting matrix would show all vertices that are 2 edges apartb) The resulting matrix would show all vertices that are 4 edges apart
",,"See slide 11 of lecture 17 - graphs 1
",
"What is the time complexity of Dijkstra's Algorithm without a min-priority queue?
","O(V2)
","O(log V)
","O(V log V)
","O(E + V log V)
","O(V + E log V)
","shortest_path -> slide 21
",
"In a linked list what is the time complexity to insert(x) and remove(y) if you were given the reference to the previous element:
","insert(x):remove(y):
","insert(x): remove(y):
","insert(x): remove(y):
","insert(x): remove(y):
",,"2019 Week3b slide 10
",
"Santa has had one too many beers while flying the sleigh back to the North Pole when the police pull him over. The police ask for hisEASA Part-FCL commercial pilot license (CPL) and he realises that he left it in one of 60 remaining gift boxes. The gift box he needs to find is labelled ""Santa Claus"" with ""North Pole"" on. Each location ""e.g Africa"" is put into its own pile, there are 12 remaining piles in total. Each pile is ordered by name ""e.g Mrs Claus"", there are 5 gift boxes in each pile. Using a binary search, what is the worst-case complexity?
","6*(5/2)
","12*5
","log2(12) * log2(5)
","log2(12) + log2(5)
","log2(12) - log2(5)
","Binary search is log2(n) complexity, log(12) + log(5) for final.
",
"Is the below tree AVL? 5 3 7 2 6 81 9
","Yes
","No
","planation: Because the left side of the tree has a height difference of 2. Week8b
","gs: Trees
",,,"mdsb20 (mdsb20)
"
"What is the time complexity for completing 'n' searches in a balanced binary search tree?
","nlogn
","n^2
","logn
","n
",,"the time complexity for a single search in a balanced binary search tree is logn thus completing n searches results in a complexity of nlogn
","aar73 (aar73)
"
"What is the time complexity for completing 'n' searches in a balanced binary search tree?
","nlogn
","n^2
","logn
","n
",,"the time complexity for a single search in a balanced binary search tree is logn thus completing n searches results in a complexity of nlogn
","aar73 (aar73)
"
"Which is the correct post-order traversal of the tree? a / \ b c / \ \ d e f
","a b d e c f
","d e b f c a
","a b c d e f
","d e b a c f
",,"See Week 7b - Trees1
",
"Which data structure is described by:the value at each node is = the values at its two children.
","Max heap
","AVL Tree
","Min heap
","Binary tree
","Skip List
","Definition given in Week 5b Slide 4.
",
"What's average time complexity of performing a search in a hash table?
","
","
","
","
",,"Searching in a hash table is on average O(1), as we only have to compute the hash for the value we are searching for & look at the corresponding value in the hash table.
",
"The asymptotic memory usage of dense and sparse graphs where v is the number of vertices and e is the number of edges is:
","Dense: Sparse:
","Dense: Sparse:
","Dense:Sparse:
","Dense : Sparse:
",,"2019 Week9b slide 17
",
"An algorithm has a time complexity of?(n^3), when n = 2 it takes 2 seconds to complete how long does it take to complete when n = 4
","4
","8
","16
","32
","64
","2^3 = 8, 8/4 = 24^3 = 64, 64/4 = 16
",
"I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table is indexed 0 to 6, with each bucket having a max length of 3.If a bucket ""overflows"", ie it is full and another element is added, this element is added to an overflow bucket.How many elements are inserted into the overflow bucket after the following elements are inserted?Elements inserted left to right (ie 29 is first insert 69 is last insert) : 29, 64, 63, 16, 48, 74, 143, 39, 80, 281, 4, 69.
","0
","1
","2
","3
","4
","29 % 7 = 125 % 7 = 464 % 7 = 163 % 7 = 016 % 7 = 248 % 7 = 674 % 7 = 4143 % 7 = 339 % 7 = 4 ---- ""4 bucket full""80 % 7 = 3281 % 7 = 1 ---- ""1"" bucket full4 % 7 = 4 ---- put into overflow7071 % 7 = 1 ---- put into overflow69 % 7 = 62 elements were added to the overflow
",
"Given a load factor of 0.3 what is the average number of steps for a Closed Hash table with linear probing to find an item.
","1.12 steps
","1.17steps
","1.21 steps
","1.25 steps
","1.3 steps
","Answer is 1.21 steps, see slide 31 of week10b-hashtablesall.pptx
",
"You have been approached by a company to recommend a fast and efficient sorting algorithm to use in Java. They often deal with large inputs of numerical data, and have limited storage. Which sorting algorithm is most suitable?
","Bubble Sort
","Quick Sort
","Insertion Sort
","Selection Sort
","Merge Sort
","Bubble Sort, Selection Sort and Insertion Sort are bounded by O(n^2), which is unacceptable for this situation. Both Quick Sort and Merge Sort have good runtimes (nlog(n)). However, the main reason why Quick Sort is preferred is that no extra space is used (sorting is done in place), compared to Merge Sort which can be memory consuming.
",
"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
","O(n2)
","O(n5)
","O(n4)
","O(nlogn)
","O(n7)
","The biggest function will dominate since we have(10n2 * 5n3 ) this equates to 50n5 which dominates the others.
","hacker_man (jm2787)
"
"What is the time complexity of the following algorithm : 0.00001n4 + 100n2 + 19nlogn + (10n2* 5n3 ) ?
","O(n2)
","O(n5)
","O(n4)
","O(nlogn)
","O(n7)
","The biggest function will dominate since we have(10n2 * 5n3 ) this equates to 50n5 which dominates the others.
","hacker_man (jm2787)
"
"Which one of the following statements regarding sorting is incorrect?
","An insertion sort is stable.
","The best, average and worst case time complexity for a selection sort are all the same.
","A heap sort is stable.
","The best, average and worst case time complexity for Shell's sort are all the same.
","The worst case time complexity of a bubble sort is
","a) is correct, as an insertion sort is indeed stable.b) is correct, as the best, average and worst time complexity for a selection sort are all .c) is incorrect, asa heap sort is not stable.d) is correct, as the best, average and worst time complexity for Shell's sort are all .e) is correct, as the worst case time complexity of a bubble sort is indeed .
",
"Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
","f is ?(g), g is O(f), h is O(g)
","f is O(g), g is ?(h), and h is O(g)
","f is O(g), g is O(f), h is ?(f)
","All of the above
","None of the above
","A - Wrong as f is much larger than g inf is ?(g), the larger function dominates n5dominates nlogn, for the same reason g is O(f) is wrongB - f is atleast g, because f dominates g we can say that f will be atleast g, g is at most h as h dominates g , and h is atleast g for the same reason making this correctC - f is exactly g is wrong since f dominates g, g is atmost h and h is atleast g however are correct
",
"Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
","20
","24
","13
","15
","7
","See Week 8b-Trees3, slide 38 for implementation
",
"A Closed Hash w/Linear Probing takes 11/2 average steps and the array is size 10.How many items are in the array?
","7
","8
","9
","10
",,"Week10b-HashtablesAll Slide 31 for the formula of average number of steps to get a load factor of 0.9 and since the array is of size 10. 10*0.9 = 9 items.
",
"Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
","O(N)
","O(N*LOG(N))
","O(N2)
","O(N2+N)
","O(N+LOG(N))
","The answer is A: O(N).Use the partition algorithm from quick sort. This works by choosing the first element as your pivot and then sorting every other element in relation to that pivot. As this only requires you to iterate through the array once it has complexity O(N).
",
"The list of numbers below create a balanced AVL Tree. Which of the following lists of numbers is printed out if you traverse the balanced AVL Tree using the post order method.4, 6.7, 2, 1, 1.5, 3, 5, 7, 6, 7.5
","3, 6, 7.5, 1, 2, 5, 7, 1.5, 6.7, 4
","1, 3, 2, 1.5, 6, 5, 7.5, 7, 6.7, 4
","4, 1.5, 1, 2, 3, 6.7, 5, 6, 7, 7.5
","1, 1.5, 2, 3, 4, 5, 6, 6.7, 7, 7.5
",,"The sorted list gives1, 1.5, 2, 3, 4, 5, 6, 6.7, 7, 7.5 and when a balanced tree is created using this list the root node is 4 and travesing this tree post order gives b as post order process the nodes in the left subtree then right subtree befor processng the current node.
",
"When using an array list what is the average time complexity for the function find(o) for an unsorted array
","1
","n
","n2
","log n
",,"B is correct here. If a list is unsorted then the list may have to be searched in it's entirity before the element is found
",
"When looking at the complexity of doing a bubble sort, what is the best and worst case
","Best: O(n log n)Worst:O(n log n)
","Best: O(n log n)Worst: O(n2)
","Best: O(n2)Worst O(n3)
","Best: O(n)Worst: O(n log n)
",,"The corrrect answer is A. The time complexity of a merge sort is always O(n log n)
",
"Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
","10, 2, 9, 21, 10, 69, 79
","2, 9, 10, 10, 21, 69, 79
","2, 9, 10, 21, 10, 69, 79
","9, 2, 10, 79, 69, 21, 10
","None of the above
","The balanced AVL tree looks like this: 10 / \ 2 21 \ / \ 9 10 69 \ 79In Order traversal works by going through all left nodes, then root and finally right nodes, thus the answer is2, 9, 10, 10, 21, 69, 79.
",
"Which of the following rules for big O is FALSE?
","If f(n) = O(n) and g(n) = O(n2), then the time complexity of f(n) + g(n) = O(n2)
","The time complexity of 100f(n) = O(f(n))
","If f(n) = O(g(n)), and g(n) = O(h(n)), then f(n) = O(h(n))
","If g1(n) = O(f1(n)) and g2(n) = O(f2(n)), then g1(n)f1(n) = O(g2(n)f2(n))
","None of the above
","A: The rule is sums, bigger function always dominates.B: The rule is scaling, constants do not matter in time complexity.C: The rule is transitivity,if A = B, and B = C, then also A = C.D: The rule is products, however the answer should beg1(n)g2(n) = O(f1(n)f2(n)) instead.
",
"Big Bank has many customers (about 20,000) but its customers typically only send payments to several people.Which type of graph representation would you use?
","Adjacency matrix
","Adjacency list
","planation: Adjacency list if you have few edges e between vertices and lots of vertices v
","gs: Graphs
",,,"wolfson1 (cr547)
"
