Type,ID,Points,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,Explanation
MC,633573,"",<p>Suppose you try to perform a binary search on a 5-element array sorted in the reverse order of what the binary search algorithm expects. How many of the items in this array will be found if they are searched for?</p>,C,<p>5</p>,<p>0</p>,<p>1</p>,<p>2</p>,<p>3</p>,"","","","","",<p>Only the middle element will be found. The remaining elements will not be contained in the subranges that we narrow our search to.</p>
MC,632805,"",<p>Which data structure used to implement&nbsp;<code>Set</code>&nbsp;yields the worst performance for <code>Set.contains</code>?</p>,B,<p>Binary search tree</p>,<p>Linked list</p>,<p>Sorted array</p>,<p>Hashtable</p>,,"","","","","","<p>Implementing Set.contains involves a search of the data structure. A binary search tree and a sorted array are searched in O(lg n) time, and a hashtable in O(1), assuming a sane hash function. A linked list is searched in O(n) time.</p>"
MC,635053,"","
<p><img src=""img/1.png"" alt=""no description""></p>
<p>The simplified UML diagram above shows the relationships among Java classes Bird, Crow, and Duck.</p>
<p>Suppose Bird has a fly(Location place) method, but we want Crows to makeNoise() just before they take off and then behave like other Birds. Assuming Crows have a makeNoise() method, we should</p>
",D,"
<p>Define a fly method in Crow by copying the fly code from Bird&nbsp; then adding in makeNoise() at the start, i.e.</p>
<pre lang=""text/x-java"">public void fly(Location place) {
   this.makeNoise();
 //  [paste the body of Bird's fly method here]
}
</pre>
","
<p>Define a fly method in Crow&nbsp; that just consists of makeNoise(), i.e.</p>
<pre lang=""text/x-java"">public void fly(Location place) {
   this.makeNoise();
}
</pre>
","
<p>Define a fly method in Crow that just consists of makeNoise() and this.fly(place), i.e.</p>
<pre lang=""text/x-java"">public void fly(Location place) {
   this.makeNoise();
   this.fly(place);
}
</pre>
","
<p>Define a fly method in Crow that just consists of makeNoise() and super.fly(place)</p>
<pre lang=""text/x-java"">public void fly(Location place) {
   this.makeNoise();
   super.fly(place);
}
</pre>
","
<p>Define a fly method in Crow that just consists of makeNoise() and Bird.fly(place); i.e.</p>
<pre lang=""text/x-java"">public void fly(Location place) {
   this.makeNoise();
   Bird.fly(place);
}
</pre>
","","","","","","
<p>D is the best: super.fly(place) invokes Bird's fly method, so produces fly behavior like other Birds.&nbsp; A would also work, but is does not take advantage of inheritance, and would be incorrect if you change the flying behavior of Birds by modifying Bird's fly method.</p>
<p>B wouldn't involve any flight, C wouldn't terminate, and E assumes a static fly method in Bird (which would be unusual design, so I would have mentioned it).</p>
"
MC,633246,"","<p>For a graph with N nodes, what's the minimum number of edges it must have for it to contain a cycle?</p>",D,<p>N + 1</p>,<p>N</p>,<p>N - 1</p>,<p>1</p>,<p>2</p>,"","","","","",<p>A vertex with an edge to itself is a cycle.</p>
MC,634254,"","
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 8</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
",D,<code>counter</code>,<code>true</code>,<code>false</code>,<code>totalA</code>,<code>aString</code>,"","","","","","<p>The return type of the method is <code>int</code>, so an integer return value must be provided. &nbsp;Since <code>counter</code> is used as a loop index, it will always end up being the total number of characters in the given string. &nbsp;The variable <code>totalA</code> is used as an accumulator that is incremented each time a letter A is found in the string, so it is the choice that will provide the correct return value for the method.</p>"
MC,633247,"",<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs log<sub>2</sub>&nbsp;N&nbsp;operations. Algorithm B performs log<sub>3</sub> N&nbsp;operations. Under what conditions does algorithm A offer better performance?</p>,E,<p>N &lt;= 2</p>,<p>N &lt; log<sub>2</sub> 3</p>,<p>N &lt; log<sub>3</sub> 2</p>,<p>N &lt; 8</p>,<p>For no N.</p>,"","","","","",<p>For no possible collection size N is log<sub>2</sub> N &lt; log3 N.</p>
MC,633241,"",<p>Finding the median value in a complete and balanced binary search tree is</p>,A,<p>O(1)</p>,<p>O(log N)</p>,<p>O(N)</p>,<p>O(N<sup>2</sup>)</p>,<p>O(N log N)</p>,"","","","","",<p>The median is the element that has M elements less than it and M elements greater than it. This can only be said of the root node in a complete and balanced binary tree. The root is accessed in constant time.</p>
MC,634183,"","<p>For a heap of size n, which is indexed at 0, at what position will its last child be?</p>",C,<p>2n + 1</p>,<p>n / 2</p>,<p>n - 1</p>,<p>floor(n / 2) + 1</p>,,"","","","","",<p>The last element will be at the end of the array.</p>
MC,634156,"",<p>What design stategy does Quicksort use?</p>,B,<p>Greedy</p>,<p>Divide and conquer</p>,<p>Dynamic programming</p>,<p>Brute force</p>,,"","","","","",<p>Quicksort is divide and conquer.</p>
MC,634154,"","<p>If you did not have a base case in a recursive function in C, and were working on a modern Unix-based system, what would most likely happen?</p>",C,<p>Segmentation fault</p>,<p>Stack overflow error</p>,"<p>C wouldn&rsquo;t complain, but your computer would crash</p>","<p>Nothing, that&rsquo;s fine</p>",,"","","","","",<p>It really depends on the program for whether it would be B or C. Both can be argued to be correct.</p>
